x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [1.00895919]   , u:[-1.] , d:-3.8327378622181083
x: [1.01082929]   , u:[-1.] , d:0.17805107852457025
x: [1.01808526]   , u:[-1.] , d:0.7147673717311351
x: [1.01798883]   , u:[-1.] , d:-0.027727902526494885
x: [1.05495636]   , u:[-1.] , d:3.678763607111676
x: [1.08965068]   , u:[-1.] , d:3.4144754171714906
x: [1.09163188]   , u:[-1.] , d:0.10846978692466244
x: [1.09118229]   , u:[-1.] , d:-0.13659091023396916
x: [1.10464502]   , u:[-1.] , d:1.2550903987682784
x: [1.07916712]   , u:[-1.] , d:-2.6524350386436577
x: [1.01877199]   , u:[-1.] , d:-6.118680171106279
x: [1.11785184]   , u:[-1.] , d:9.88921386712352
x: [1.11810497]   , u:[-1.] , d:-0.09253894237320702
x: [1.17830182]   , u:[-1.] , d:5.901580013020822
x: [1.17957272]   , u:[-1.] , d:-0.05121187601175353
x: [1.18572039]   , u:[-1.] , d:0.43519357737187647
x: [1.18591332]   , u:[-1.] , d:-0.16642738128528675
x: [1.19681126]   , u:[-1.] , d:0.9038810473717833
x: [1.20080967]   , u:[-1.] , d:0.20302961754261176
x: [1.22534001]   , u:[-1.] , d:2.2522242770554564
x: [1.22846605]   , u:[-1.] , d:0.0872644045566287
x: [1.22305017]   , u:[-1.] , d:-0.7700541960673087
x: [1.22226359]   , u:[-1.] , d:-0.3017083592832703
x: [1.21629978]   , u:[-1.] , d:-0.8186448450296953
x: [1.21708974]   , u:[-1.] , d:-0.1373037351959671
x: [1.20010862]   , u:[-1.] , d:-1.9152013242752546
x: [1.21479055]   , u:[-1.] , d:1.268083901458044
x: [1.21272638]   , u:[-1.] , d:-0.4212074207098136
