x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [ 1.15188807 -0.13157656]   , u:[-1. -1.] , d:[ 4.83570338 -7.11378604]
x: [ 1.0964516  -0.11273819]   , u:[-1. -1.] , d:[-5.69553497  3.0154133 ]
x: [ 1.06234348 -0.06261637]   , u:[-1. -1.] , d:[-3.50726362  6.12491998]
x: [ 1.07460776 -0.01906989]   , u:[-1. -1.] , d:[1.16408425 5.4172645 ]
x: [ 1.09326973 -0.03125489]   , u:[-1. -1.] , d:[ 1.79158899 -0.19942991]
x: [ 1.02719352 -0.08237678]   , u:[-1. -1.] , d:[-6.70089082 -4.08093403]
x: [ 1.01143104 -0.16501374]   , u:[-1. -1.] , d:[-1.60344104 -7.18132011]
x: [ 1.06033405 -0.14517879]   , u:[-1. -1.] , d:[4.8788696  3.14850953]
x: [ 1.08101656 -0.07827248]   , u:[-1. -1.] , d:[2.00791739 7.83580965]
x: [ 1.13980877 -0.0190977 ]   , u:[-1. -1.] , d:[5.79820391 6.99575059]
x: [ 1.165437   -0.00966553]   , u:[-1. -1.] , d:[2.4230146  1.96231469]
x: [ 1.1427174  -0.05439569]   , u:[-1. -1.] , d:[-2.43739694 -3.46335069]
x: [ 1.12399705 -0.06264038]   , u:[-1. -1.] , d:[-2.01475278  0.22992694]
x: [ 1.16663704 -0.09982023]   , u:[-1. -1.] , d:[ 4.14000225 -2.65534538]
x: [ 1.17085037 -0.12538175]   , u:[-1. -1.] , d:[ 0.25469552 -1.45633091]
x: [ 1.16777424 -0.1810549 ]   , u:[-1. -1.] , d:[-0.47846343 -4.44193408]
x: [ 1.1918832  -0.15453917]   , u:[-1. -1.] , d:[2.24312204 3.83262804]
x: [ 1.2053797  -0.10891487]   , u:[-1. -1.] , d:[1.15776724 5.71696993]
x: [ 1.20713247 -0.18414063]   , u:[-1. -1.] , d:[-0.03010271 -6.41366195]
x: [ 1.16102513 -0.17794903]   , u:[-1. -1.] , d:[-4.81786681  1.80330083]
x: [ 1.13044416 -0.20021017]   , u:[-1. -1.] , d:[-3.21912241 -1.04816508]
x: [ 1.13045815 -0.19948097]   , u:[-1. -1.] , d:[-0.12904483  1.2731301 ]
x: [ 1.09693951 -0.22156006]   , u:[-1. -1.] , d:[-3.48232167 -1.00842802]
x: [ 1.13740244 -0.20815909]   , u:[-1. -1.] , d:[3.94935338 2.56165703]
x: [ 1.11144145 -0.23928878]   , u:[-1. -1.] , d:[-2.73350196 -1.90480989]
x: [ 1.15976232 -0.20400062]   , u:[-1. -1.] , d:[4.72064609 4.76810519]
x: [ 1.15652898 -0.22402159]   , u:[-1. -1.] , d:[-0.48309715 -0.79809603]
x: [ 1.09123785 -0.21947996]   , u:[-1. -1.] , d:[-6.68564135  1.6781842 ]
x: [ 1.02875698 -0.20789429]   , u:[-1. -1.] , d:[-6.33932481  2.37804742]
x: [ 1.08947508 -0.23194149]   , u:[-1. -1.] , d:[ 6.04305229 -1.19682585]
x: [ 1.07043151 -0.20115724]   , u:[-1. -1.] , d:[-1.99383152  4.31036654]
x: [ 1.05070284 -0.13588178]   , u:[-1. -1.] , d:[-2.04329835  7.7287029 ]
x: [ 1.04863982 -0.19750979]   , u:[-1. -1.] , d:[-0.25700546 -5.02691931]
x: [ 1.01311759 -0.22472175]   , u:[-1. -1.] , d:[-3.60086249 -1.52368577]
x: [ 1.02631176 -0.19703503]   , u:[-1. -1.] , d:[1.30629949 3.99339313]
x: [ 1.00541114 -0.24036253]   , u:[-1. -1.] , d:[-2.11637389 -3.13571439]
x: [ 1.03508308 -0.31157908]   , u:[-1. -1.] , d:[ 2.96178314 -5.88129241]
x: [ 1.08941537 -0.30366279]   , u:[-1. -1.] , d:[5.39814567 2.10320796]
x: [ 1.09670768 -0.38140187]   , u:[-1. -1.] , d:[ 0.63981559 -6.47024521]
x: [ 1.04681838 -0.36522847]   , u:[-1. -1.] , d:[-5.08563709  2.99874174]
x: [ 1.00895919 -0.35656056]   , u:[-1. -1.] , d:[-3.83273786  2.23201933]
x: [ 1.01082929 -0.31894036]   , u:[-1. -1.] , d:[0.17805108 5.11858014]
x: [ 1.01808526 -0.32113505]   , u:[-1. -1.] , d:[0.71476737 1.09947198]
x: [ 1.01798883 -0.36800038]   , u:[-1. -1.] , d:[-0.0277279  -3.36539837]
x: [ 1.05495636 -0.41670934]   , u:[-1. -1.] , d:[ 3.67876361 -3.50289513]
x: [ 1.08965068 -0.47300958]   , u:[-1. -1.] , d:[ 3.41447542 -4.21331496]
x: [ 1.09163188 -0.48450384]   , u:[-1. -1.] , d:[0.10846979 0.32358315]
x: [ 1.09118229 -0.45693744]   , u:[-1. -1.] , d:[-0.13659091  4.24114438]
x: [ 1.10464502 -0.48526147]   , u:[-1. -1.] , d:[ 1.2550904  -1.37546586]
x: [ 1.07916712 -0.45003119]   , u:[-1. -1.] , d:[-2.65243504  5.00828967]
x: [ 1.01877199 -0.49939997]   , u:[-1. -1.] , d:[-6.11868017 -3.48684726]
x: [ 1.11785184 -0.47337261]   , u:[-1. -1.] , d:[9.88921387 4.10213611]
x: [ 1.11810497 -0.52171116]   , u:[-1. -1.] , d:[-0.09253894 -3.36048192]
x: [ 1.17830182 -0.5277861 ]   , u:[-1. -1.] , d:[5.90158001 0.91421736]
x: [ 1.17957272 -0.48810905]   , u:[-1. -1.] , d:[-0.05121188  5.49549111]
x: [ 1.18572039 -0.55565136]   , u:[-1. -1.] , d:[ 0.43519358 -5.26612255]
x: [ 1.18591332 -0.62872437]   , u:[-1. -1.] , d:[-0.16642738 -5.75164912]
x: [ 1.19681126 -0.65379741]   , u:[-1. -1.] , d:[ 0.90388105 -0.87857988]
x: [ 1.20080967 -0.61788307]   , u:[-1. -1.] , d:[0.20302962 5.24523155]
x: [ 1.22534001 -0.63010597]   , u:[-1. -1.] , d:[2.25222428 0.39559273]
x: [ 1.22846605 -0.64993451]   , u:[-1. -1.] , d:[ 0.0872644  -0.35274768]
x: [ 1.22305017 -0.63612634]   , u:[-1. -1.] , d:[-0.7700542   3.03075114]
x: [ 1.22226359 -0.59588993]   , u:[-1. -1.] , d:[-0.30170836  5.65976711]
x: [ 1.21629978 -0.6168345 ]   , u:[-1. -1.] , d:[-0.81864485 -0.49856659]
x: [ 1.21708974 -0.69854918]   , u:[-1. -1.] , d:[-0.13730374 -6.55463348]
x: [ 1.20010862 -0.74248864]   , u:[-1. -1.] , d:[-1.91520132 -2.69539712]
x: [ 1.21479055 -0.79514482]   , u:[-1. -1.] , d:[ 1.2680839 -3.5231295]
x: [ 1.21272638 -0.77125937]   , u:[-1. -1.] , d:[-0.42120742  4.1836902 ]
x: [ 1.24410606 -0.7773134 ]   , u:[-1. -1.] , d:[2.9252417  1.16585589]
x: [ 1.25551472 -0.79033463]   , u:[-1. -1.] , d:[0.89675991 0.47519088]
x: [ 1.31086566 -0.71992572]   , u:[-1. -1.] , d:[5.27957971 8.83122528]
x: [ 1.28453839 -0.67187645]   , u:[-1. -1.] , d:[-2.94359279  6.52485264]
x: [ 1.26750903 -0.69074532]   , u:[-1. -1.] , d:[-1.98747387 -0.21501047]
x: [ 1.22740539 -0.76588861]   , u:[-1. -1.] , d:[-4.27787382 -5.82358352]
x: [ 1.24350486 -0.85263275]   , u:[-1. -1.] , d:[ 1.3825424  -6.90852555]
